X	Y	occurrencedate	premisetype	occurrencedayofweek	occurrencehour	Division	Neighbourhood
-79.6014404	43.7304726	2015-11-01T04:00:00.000Z	Commercial	Sunday    	0	D23	West Humber-Clairville (1)
-79.4416504	43.6610718	2016-04-16T04:00:00.000Z	Outside	Saturday  	23	D11	Dovercourt-Wallace Emerson-Junction (93)
-79.3436279	43.7074776	2016-04-20T04:00:00.000Z	Outside	Wednesday 	22	D53	Thorncliffe Park (55)
-79.2178497	43.7406616	2016-04-23T04:00:00.000Z	Apartment	Saturday  	6	D43	Scarborough Village (139)
-79.4197388	43.6702538	2016-04-24T04:00:00.000Z	Outside	Sunday    	19	D14	Annex (95)
-79.2080688	43.7924843	2016-04-17T04:00:00.000Z	House	Sunday    	6	D43	Morningside (135)
-79.3699188	43.6725769	2016-04-24T04:00:00.000Z	Outside	Sunday    	20	D53	Rosedale-Moore Park (98)
-79.4215851	43.7292786	2016-04-20T04:00:00.000Z	House	Wednesday 	16	D32	Bedford Park-Nortown (39)
-79.4025116	43.7262917	2016-04-22T04:00:00.000Z	Outside	Friday    	12	D32	Lawrence Park North (105)
-79.4134521	43.7601433	2016-04-19T04:00:00.000Z	House	Tuesday   	23	D32	Lansing-Westgate (38)
-79.455513	43.7176437	2016-04-16T04:00:00.000Z	Other	Saturday  	17	D32	Yorkdale-Glen Park (31)
-79.455513	43.7176437	2016-04-16T04:00:00.000Z	Other	Saturday  	17	D32	Yorkdale-Glen Park (31)
-79.4117661	43.7648163	2016-04-19T04:00:00.000Z	Commercial	Tuesday   	18	D32	Willowdale East (51)
-79.6158524	43.7238922	2016-04-25T04:00:00.000Z	Outside	Monday    	17	D23	West Humber-Clairville (1)
-79.4962997	43.6791382	2016-04-17T04:00:00.000Z	Outside	Sunday    	18	D12	Rockcliffe-Smythe (111)
-79.4987259	43.7514343	2016-04-26T04:00:00.000Z	House	Tuesday   	23	D31	York University Heights (27)
-79.5898056	43.752964	2016-04-29T04:00:00.000Z	House	Friday    	16	D23	Mount Olive-Silverstone-Jamestown (2)
-79.5873032	43.689518	2016-05-01T04:00:00.000Z	Outside	Sunday    	19	D23	West Humber-Clairville (1)
